i;j;j-coordinate;N_k;Xzz
1;1;(-3.0, -2.0, 0.0);509;-1.725144994482764e-05
1;1;(-3.0, 0.0, -2.0);509;-1.725144994482764e-05
1;1;(-3.0, 0.0, 2.0);472;-1.7726439395912233e-05
1;1;(-3.0, 2.0, 0.0);472;-1.7726439395912233e-05
1;1;(-2.0, -3.0, 0.0);509;-1.725144994482764e-05
1;1;(-2.0, 0.0, -3.0);509;-1.725144994482764e-05
1;1;(-2.0, 0.0, 3.0);457;-1.8503019546424574e-05
1;1;(-2.0, 3.0, 0.0);457;-1.8503019546424574e-05
1;1;(0.0, -3.0, -2.0);509;-1.725144994482764e-05
1;1;(0.0, -3.0, 2.0);472;-1.772643939591226e-05
1;1;(0.0, -2.0, -3.0);509;-1.725144994482764e-05
1;1;(0.0, -2.0, 3.0);457;-1.8503019546424574e-05
1;1;(0.0, 2.0, -3.0);472;-1.772643939591226e-05
1;1;(0.0, 2.0, 3.0);419;-1.721684916504215e-05
1;1;(0.0, 3.0, -2.0);457;-1.8503019546424574e-05
1;1;(0.0, 3.0, 2.0);419;-1.721684916504215e-05
1;1;(2.0, -3.0, 0.0);472;-1.7726439395912233e-05
1;1;(2.0, 0.0, -3.0);472;-1.7726439395912233e-05
1;1;(2.0, 0.0, 3.0);419;-1.721684916504215e-05
1;1;(2.0, 3.0, 0.0);419;-1.721684916504215e-05
1;1;(3.0, -2.0, 0.0);457;-1.8503019546424574e-05
1;1;(3.0, 0.0, -2.0);457;-1.8503019546424574e-05
1;1;(3.0, 0.0, 2.0);419;-1.721684916504215e-05
1;1;(3.0, 2.0, 0.0);419;-1.721684916504215e-05
1;1;(-3.0, -2.0, -1.0);494;7.946832831804649e-05
1;1;(-3.0, -2.0, 1.0);479;7.962277887672572e-05
1;1;(-3.0, -1.0, -2.0);494;7.946832831804649e-05
1;1;(-3.0, -1.0, 2.0);460;8.064687464056166e-05
1;1;(-3.0, 1.0, -2.0);479;7.962277887672572e-05
1;1;(-3.0, 1.0, 2.0);446;8.266191527834153e-05
1;1;(-3.0, 2.0, -1.0);460;8.064687464056166e-05
1;1;(-3.0, 2.0, 1.0);446;8.266191527834153e-05
1;1;(-2.0, -3.0, -1.0);494;7.946832831804649e-05
1;1;(-2.0, -3.0, 1.0);479;7.962277887672572e-05
1;1;(-2.0, -1.0, -3.0);494;7.946832831804649e-05
