i;j;j-coordinate;N_k;Xzz
2;1;(-1.0, 1.0, -1.5);74;-5.2465675e-05
2;1;(1.0, -1.0, -1.5);74;-0.00010147275
2;1;(1.0, 2.0, -1.5);74;-0.00010147275
2;1;(2.0, 1.0, -0.5);168;-5.24606e-05
2;1;(-2.0, -1.0, -1.5);74;-0.00010147275
2;1;(2.0, 1.0, -1.5);74;-5.2465675e-05
2;2;(-1.0, -3.0, 0.0);149;-0.000120513
2;2;(-1.0, 2.0, 0.0);149;-0.000120513
2;2;(1.0, -2.0, 0.0);149;-0.00012019875
2;2;(1.0, 3.0, 0.0);149;-0.00012019875
2;2;(-2.0, -3.0, 0.0);149;-0.000120513
2;2;(-2.0, 1.0, 0.0);149;-0.000120513
2;2;(2.0, -1.0, 0.0);149;-0.00012019875
2;2;(2.0, 3.0, 0.0);149;-0.00012019875
2;2;(-3.0, -2.0, 0.0);147;-0.00012019875
2;2;(-3.0, -1.0, 0.0);147;-0.00012019875
2;2;(3.0, 1.0, 0.0);147;-0.000120513
2;2;(3.0, 2.0, 0.0);147;-0.000120513
2;1;(0.0, -2.0, -1.5);72;4.5112525e-05
2;1;(0.0, -2.0, -0.5);163;4.5109174999999997e-05
2;1;(0.0, 2.0, -1.5);72;4.5112525e-05
2;1;(0.0, 2.0, -0.5);163;4.5109174999999997e-05
2;1;(-2.0, -2.0, -1.5);72;4.5112525e-05
2;1;(-2.0, -2.0, -0.5);163;4.5109174999999997e-05
2;1;(-2.0, 0.0, -1.5);72;4.5112525e-05
2;1;(-2.0, 0.0, -0.5);163;4.5109174999999997e-05
2;1;(2.0, 0.0, -1.5);72;4.5112525e-05
2;1;(2.0, 0.0, -0.5);163;4.5109174999999997e-05
2;1;(2.0, 2.0, -1.5);72;4.5112525e-05
2;1;(2.0, 2.0, -0.5);163;4.5109174999999997e-05
2;2;(0.0, -3.0, 0.0);137;0.00612125
2;2;(0.0, 3.0, 0.0);137;0.00612125
2;2;(-3.0, -3.0, 0.0);137;0.00612125
2;2;(-3.0, 0.0, 0.0);137;0.00612125
2;2;(3.0, 0.0, 0.0);137;0.00612125
2;2;(3.0, 3.0, 0.0);137;0.00612125
2;1;(-2.0, -3.0, -1.5);64;0.00038692425000000006
2;1;(-2.0, -3.0, -0.5);145;0.00038690074999999996
2;1;(-2.0, 1.0, -1.5);64;0.00038692425000000006
2;1;(-2.0, 1.0, -0.5);145;0.00038690074999999996
2;1;(-1.0, -3.0, -1.5);64;0.00038692425000000006
2;1;(-1.0, -3.0, -0.5);145;0.00038690074999999996
2;1;(-1.0, 2.0, -1.5);64;0.00038692425000000006
2;1;(-1.0, 2.0, -0.5);145;0.00038690074999999996
2;1;(1.0, -2.0, -1.5);64;0.0003351685
2;1;(1.0, -2.0, -0.5);145;0.000335152
2;1;(1.0, 3.0, -1.5);64;0.0003351685
2;1;(1.0, 3.0, -0.5);145;0.000335152
2;1;(2.0, -1.0, -1.5);64;0.0003351685
2;1;(2.0, -1.0, -0.5);145;0.000335152
2;1;(2.0, 3.0, -1.5);64;0.0003351685
2;1;(2.0, 3.0, -0.5);145;0.000335152
2;1;(-3.0, -2.0, -1.5);64;0.0003351685
2;1;(-3.0, -2.0, -0.5);143;0.000335152
2;1;(-3.0, -1.0, -1.5);64;0.0003351685
2;1;(-3.0, -1.0, -0.5);143;0.000335152
