j-coordinate,Xzz
"(0.0, -4.0, -1.0)",2.6552575671405133e-05
"(0.0, -4.0, 0.0)",5.187241749877515e-06
"(0.0, -4.0, 1.0)",5.17930002660696e-06
"(0.0, -4.0, 2.0)",2.8347717100456908e-05
"(0.0, -4.0, 3.0)",-2.6587273408472254e-06
"(0.0, -3.0, -4.0)",-2.52676099585923e-06
"(0.0, -3.0, -3.0)",9.513336397565343e-05
"(0.0, -3.0, -2.0)",-9.75959709477841e-06
"(0.0, -3.0, -1.0)",-0.0001350688182503315
"(0.0, -3.0, 0.0)",-3.818630268889799e-06
"(0.0, -3.0, 1.0)",-3.844625932120477e-06
"(0.0, -3.0, 2.0)",-0.00013833934637944392
"(0.0, -3.0, 3.0)",-1.109744360396832e-05
"(0.0, -3.0, 4.0)",-2.674739049261557e-06
"(0.0, -2.0, -5.0)",2.91814665293767e-05
"(0.0, -2.0, -4.0)",-5.0961730600119535e-05
"(0.0, -2.0, -3.0)",-9.774428319300983e-06
"(0.0, -2.0, -2.0)",-9.696566487624665e-06
"(0.0, -2.0, -1.0)",9.775025613783375e-05
"(0.0, -2.0, 0.0)",-0.0001297165054395835
"(0.0, -2.0, 1.0)",-0.00013066042017115503
"(0.0, -2.0, 2.0)",9.927397758771291e-05
"(0.0, -2.0, 3.0)",-2.2590400983965513e-05
"(0.0, -2.0, 4.0)",-5.515641358432939e-05
"(0.0, -1.0, -5.0)",7.844538303663153e-06
"(0.0, -1.0, -4.0)",2.6592373848805522e-05
"(0.0, -1.0, -3.0)",-0.00013549581313005473
"(0.0, -1.0, -2.0)",9.774760652699989e-05
"(0.0, -1.0, -1.0)",-5.320461884568433e-05
"(0.0, -1.0, 0.0)",-0.0012573157574423755
"(0.0, -1.0, 1.0)",-0.0012792249643710806
"(0.0, -1.0, 2.0)",0.000242720972763972
"(0.0, -1.0, 3.0)",3.4155535952996075e-05
"(0.0, -1.0, 4.0)",0.00017162560553544293
"(0.0, -1.0, 5.0)",3.0188709494470153e-05
"(0.0, 0.0, -5.0)",-3.6374788300553944e-05
"(0.0, 0.0, -4.0)",5.203633418666181e-06
"(0.0, 0.0, -3.0)",-3.831037264574965e-06
"(0.0, 0.0, -2.0)",-0.00013016256862434565
"(0.0, 0.0, -1.0)",-0.0012616857772535807
"(0.0, 0.0, 0.0)",0.0
"(0.0, 0.0, 1.0)",0.0004791797631842181
"(0.0, 0.0, 2.0)",0.0012830330104891944
"(0.0, 0.0, 3.0)",-5.837525938319646e-05
"(0.0, 0.0, 4.0)",-0.00010973286122111463
"(0.0, 0.0, 5.0)",-4.0003245827664414e-05
"(0.0, 1.0, -5.0)",2.963619349178409e-05
"(0.0, 1.0, -4.0)",5.195682768447015e-06
"(0.0, 1.0, -3.0)",-3.857187535179489e-06
"(0.0, 1.0, -2.0)",-0.00013109413120460502
"(0.0, 1.0, -1.0)",-0.0012837478618905086
"(0.0, 1.0, 0.0)",0.00047973431360396885
"(0.0, 1.0, 1.0)",-0.00037777016494603896
"(0.0, 1.0, 2.0)",0.00023450699613585164
"(0.0, 1.0, 3.0)",3.513412752476035e-05
"(0.0, 1.0, 4.0)",0.00017037045247184285
"(0.0, 1.0, 5.0)",5.779797933751766e-06
"(0.0, 2.0, -4.0)",2.8440349262683433e-05
"(0.0, 2.0, -3.0)",-0.00013878685142390123
"(0.0, 2.0, -2.0)",9.96004206054664e-05
"(0.0, 2.0, -1.0)",0.0002434294347799427
"(0.0, 2.0, 0.0)",0.0012851707718432286
"(0.0, 2.0, 1.0)",0.00023498195541433407
"(0.0, 2.0, 2.0)",4.1995923133730367e-05
"(0.0, 2.0, 3.0)",-2.8134953392743088e-05
"(0.0, 2.0, 4.0)",-5.7352805003453595e-05
"(0.0, 2.0, 5.0)",3.069694773588055e-05
"(0.0, 3.0, -4.0)",-2.9012408084230977e-06
"(0.0, 3.0, -3.0)",-1.1134197242104511e-05
"(0.0, 3.0, -2.0)",-2.259194025924434e-05
"(0.0, 3.0, -1.0)",3.4201386603770454e-05
"(0.0, 3.0, 0.0)",-5.8514693032340475e-05
"(0.0, 3.0, 1.0)",3.518261706393947e-05
"(0.0, 3.0, 2.0)",-2.8094717073672893e-05
"(0.0, 3.0, 3.0)",3.226587886195598e-05
"(0.0, 3.0, 4.0)",-1.1599749411003906e-05
"(0.0, 4.0, -3.0)",0.000104272031076425
"(0.0, 4.0, -2.0)",-5.52677346411315e-05
"(0.0, 4.0, -1.0)",0.00017194316308978834
"(0.0, 4.0, 0.0)",-0.00010991047132478706
"(0.0, 4.0, 1.0)",0.0001706572412277453
"(0.0, 4.0, 2.0)",-5.743419589077428e-05
"(0.0, 4.0, 3.0)",-2.8527673740266257e-06
"(0.0, 4.0, 4.0)",0.00010915595260099618
"(0.0, 5.0, -1.0)",3.020183043300708e-05
"(0.0, 5.0, 0.0)",-4.0074884584455174e-05
"(0.0, 5.0, 1.0)",5.782156626695659e-06
"(0.0, 5.0, 2.0)",3.0695903951973025e-05
"(1.0, -5.0, -2.0)",-1.8410836205120347e-06
"(1.0, -5.0, -1.0)",2.927550557313477e-05
"(1.0, -5.0, 0.0)",2.9610902398865037e-05
"(1.0, -5.0, 1.0)",-1.851530546797849e-06
"(1.0, -4.0, -3.0)",2.5793597255973236e-05
"(1.0, -4.0, -2.0)",2.479376369896281e-05
"(1.0, -4.0, -1.0)",2.7271377875704994e-05
"(1.0, -4.0, 0.0)",5.179300026606958e-06
"(1.0, -4.0, 1.0)",5.33457864458421e-06
"(1.0, -4.0, 2.0)",2.89875760136927e-05
"(1.0, -3.0, -4.0)",2.5793597255973236e-05
"(1.0, -3.0, -3.0)",9.336792562127668e-05
"(1.0, -3.0, -2.0)",-9.870872073204488e-06
"(1.0, -3.0, -1.0)",-0.00013860555218078957
"(1.0, -3.0, 0.0)",-3.844625932120478e-06
"(1.0, -3.0, 1.0)",-3.892800764002177e-06
"(1.0, -3.0, 2.0)",-0.000143508119736437
"(1.0, -3.0, 3.0)",6.964627070155541e-05
"(1.0, -3.0, 4.0)",0.00010542494688890151
"(1.0, -2.0, -5.0)",-1.8418629769214974e-06
"(1.0, -2.0, -4.0)",2.4823989785599262e-05
"(1.0, -2.0, -3.0)",-9.870872073204488e-06
"(1.0, -2.0, -2.0)",-9.90453823743265e-06
"(1.0, -2.0, -1.0)",9.91478423852857e-05
"(1.0, -2.0, 0.0)",-0.0001308864767033346
"(1.0, -2.0, 1.0)",-0.00013186361604164388
"(1.0, -2.0, 2.0)",-4.3574301797319096e-05
"(1.0, -2.0, 3.0)",7.188643155554873e-05
"(1.0, -2.0, 4.0)",2.713775330188092e-05
"(1.0, -1.0, -5.0)",2.9287865806193598e-05
"(1.0, -1.0, -4.0)",2.731405354597398e-05
"(1.0, -1.0, -3.0)",-0.00013860384423766266
"(1.0, -1.0, -2.0)",9.914530717393291e-05
"(1.0, -1.0, -1.0)",-5.375085119241918e-05
"(1.0, -1.0, 0.0)",-0.0012814824224040128
"(1.0, -1.0, 1.0)",0.00048668462157990666
"(1.0, -1.0, 2.0)",0.0007015854861401056
"(1.0, -1.0, 3.0)",1.4920488475276571e-05
"(1.0, -1.0, 4.0)",-2.5739077145120457e-06
"(1.0, -1.0, 5.0)",3.0355712466588164e-05
"(1.0, 0.0, -5.0)",2.963619349178409e-05
"(1.0, 0.0, -4.0)",5.195682768447015e-06
