i;j;j-coordinate;N_k;Xzz
3;4;(3.0, -1.0, 0.5);247;-0.004196950350281855
3;4;(3.0, 2.0, 0.5);232;-0.0021809744180558864
3;3;(-2.0, 0.0, -1.0);166;-1.1145263351597644e-06
3;3;(-2.0, 0.0, 1.0);256;8.062304144350933e-07
3;3;(0.0, -2.0, -1.0);159;-0.0007069746838011737
3;3;(0.0, -2.0, 1.0);250;0.00019253375024874114
3;3;(2.0, 0.0, -1.0);165;-1.737149598328347e-06
3;3;(2.0, 0.0, 1.0);260;9.102429234711315e-07
3;3;(0.0, 2.0, -1.0);172;-0.00036707883372538545
3;3;(0.0, 2.0, 1.0);268;0.00017639476326398873
3;6;(-3.5, 0.5, 1.5);114;4.380466221715213e-05
3;6;(-3.5, 1.5, 1.5);107;6.285777465844663e-05
3;6;(-2.5, -1.5, 1.5);129;-0.00014692720611564109
3;6;(-2.5, 3.5, 1.5);94;-0.00028736725555851783
3;6;(-0.5, -2.5, 1.5);138;4.359506191081393e-05
3;6;(-0.5, 4.5, 1.5);86;6.63862065308964e-05
3;6;(0.5, -2.5, 1.5);137;6.054896509801567e-05
3;6;(0.5, 4.5, 1.5);86;0.00011655741903375763
3;6;(2.5, -1.5, 1.5);127;-0.0002609502380421379
3;6;(2.5, 3.5, 1.5);94;-0.000350277757389393
3;6;(3.5, 0.5, 1.5);113;6.607158666304738e-05
3;6;(3.5, 1.5, 1.5);106;0.0001210959663174486
3;6;(-3.5, 0.5, 0.5);233;0.0002045407004777435
3;6;(-3.5, 1.5, 0.5);219;0.0001648964822111081
3;6;(-2.5, -1.5, 0.5);264;-0.0005379082078164488
3;6;(-2.5, 3.5, 0.5);195;-0.00020954423022650196
3;6;(-0.5, -2.5, 0.5);279;0.0002534049970134258
3;6;(-0.5, 4.5, 0.5);183;0.00011211046705027046
3;6;(0.5, -2.5, 0.5);280;0.0002785167228829466
3;6;(0.5, 4.5, 0.5);181;0.00010165005581760343
3;6;(2.5, -1.5, 0.5);262;-0.0005129730922527434
3;6;(2.5, 3.5, 0.5);196;-0.00016408927777678814
3;6;(3.5, 0.5, 0.5);232;0.0001845762020053663
3;6;(3.5, 1.5, 0.5);217;0.00012632012120491015
3;4;(-2.0, -1.0, -0.5);248;4.875797551944926e-05
3;4;(-2.0, -1.0, 1.5);150;2.332893427478241e-05
