i;j;j-coordinate;N_k;Xzz
1;1;(-1.0, -1.0, -4.0);339;0.00010833
1;1;(1.0, 1.0, 4.0);339;0.00010833
1;1;(-1.0, -4.0, -1.0);339;0.00010833
1;1;(1.0, 4.0, 1.0);339;0.00010833
1;1;(-1.0, 0.0, 3.0);339;-3.026555e-05
1;1;(-1.0, 3.0, 0.0);339;-3.026555e-05
1;1;(1.0, -3.0, 0.0);339;-3.026555e-05
1;1;(1.0, 0.0, -3.0);339;-3.026555e-05
1;1;(-3.0, 0.0, -3.0);341;3.684385e-06
1;1;(3.0, 0.0, 3.0);341;3.684385e-06
1;1;(-3.0, -3.0, 0.0);341;3.684385e-06
1;1;(3.0, 3.0, 0.0);341;3.684385e-06
1;1;(-4.0, -1.0, -1.0);343;-4.26297e-07
1;1;(4.0, 1.0, 1.0);343;-4.26297e-07
1;1;(-3.0, 0.0, 1.0);341;-0.0002042615
1;1;(-3.0, 1.0, 0.0);341;-0.0002042615
1;1;(3.0, -1.0, 0.0);341;-0.0002042615
1;1;(3.0, 0.0, -1.0);341;-0.0002042615
1;1;(0.0, -1.0, 3.0);337;7.79595e-05
1;1;(0.0, 1.0, -3.0);337;7.79595e-05
1;1;(0.0, -3.0, 1.0);337;7.79595e-05
1;1;(0.0, 3.0, -1.0);337;7.79595e-05
1;1;(-1.0, -3.0, -4.0);327;1.155985e-05
1;1;(1.0, 3.0, 4.0);327;1.155985e-05
1;1;(-1.0, -4.0, -3.0);327;1.155985e-05
1;1;(1.0, 4.0, 3.0);327;1.155985e-05
1;1;(-1.0, 2.0, 3.0);323;2.306975e-05
1;1;(-1.0, 3.0, 2.0);323;2.306975e-05
1;1;(1.0, -3.0, -2.0);323;2.306975e-05
1;1;(1.0, -2.0, -3.0);323;2.306975e-05
1;1;(-3.0, -4.0, -1.0);321;-7.5822e-05
1;1;(-3.0, -1.0, -4.0);321;-7.5822e-05
1;1;(3.0, 1.0, 4.0);321;-7.5822e-05
1;1;(3.0, 4.0, 1.0);321;-7.5822e-05
1;1;(-4.0, -3.0, -1.0);323;0.000108802
1;1;(-4.0, -1.0, -3.0);323;0.000108802
1;1;(4.0, 1.0, 3.0);323;0.000108802
1;1;(4.0, 3.0, 1.0);323;0.000108802
1;1;(-3.0, 1.0, -2.0);321;-4.77943e-05
1;1;(-2.0, 1.0, -3.0);319;-3.462295e-05
1;1;(2.0, -1.0, 3.0);319;-3.462295e-05
1;1;(3.0, -1.0, 2.0);321;-4.77943e-05
1;1;(-3.0, -2.0, 1.0);321;-4.77943e-05
1;1;(-2.0, -3.0, 1.0);319;-3.462295e-05
1;1;(2.0, 3.0, -1.0);319;-3.462295e-05
1;1;(3.0, 2.0, -1.0);321;-4.77943e-05
1;1;(-3.0, -4.0, -4.0);325;-0.000653435
1;1;(3.0, 4.0, 4.0);325;-0.000653435
1;1;(-4.0, -4.0, -3.0);321;-0.00137889
1;1;(-4.0, -3.0, -4.0);321;-0.00137889
1;1;(4.0, 3.0, 4.0);321;-0.00137889
1;1;(4.0, 4.0, 3.0);321;-0.00137889
1;1;(0.0, -1.0, -4.0);313;1.03945e-05
1;1;(0.0, 1.0, 4.0);313;1.03945e-05
1;1;(0.0, -4.0, -1.0);313;1.03945e-05
1;1;(0.0, 4.0, 1.0);313;1.03945e-05
1;1;(-1.0, -4.0, 0.0);311;-0.000514995
1;1;(-1.0, 0.0, -4.0);311;-0.000514995
1;1;(1.0, 0.0, 4.0);311;-0.000514995
1;1;(1.0, 4.0, 0.0);311;-0.000514995
1;1;(-3.0, 1.0, 1.0);317;-6.1426e-06
1;1;(3.0, -1.0, -1.0);317;-6.1426e-06
1;1;(-4.0, -1.0, 0.0);315;-0.0001146625
1;1;(-4.0, 0.0, -1.0);315;-0.0001146625
1;1;(4.0, 0.0, 1.0);315;-0.0001146625
1;1;(4.0, 1.0, 0.0);315;-0.0001146625
